가맹점명,주소
썬푸드_QR,13595) 경기도 성남시 분당구 황새울로 216 (수내동) 지하1층 5호실
따띠삼겹(분당휴맥스점)_QR,13595) 경기도 성남시 분당구 황새울로 216 (수내동) 휴맥스빌리지 B1층
비스트로 분당김치찜 본점,"13636) 경기도 성남시 분당구 성남대로 51 (구미동) 1층 102, 103-1호"
화덕생선구이어반(수내역점),13595) 경기도 성남시 분당구 황새울로214번길 8 (수내동) 1층
솔솥(정자점),"13560) 경기도 성남시 분당구 정자일로 135 (정자동)  (정자동) D112, D113"
커스텀커피(판교테크노밸리점),13449) 경기 성남시 수정구 창업로40번길 6 근린생활시설동 지하2층 3호
로스옥 아브뉴프랑판교점,"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 129, 130, 131호"
대진도원참치 ,"13524) 경기도 성남시 분당구 판교역로192번길 14-2 (삼평동) 2층 삼평동, 골드타워"
보이차전문점 차향당,13488) 경기도 성남시 분당구 판교로319번길 13 (삼평동) 107호
원그릭_QR,"13591) 경기도 성남시 분당구 황새울로312번길 20 (서현동) 1층(서현동, 분당태성빌딩)"
비스트로 분당김치찜(정자점),13558) 경기도 성남시 분당구 성남대로331번길 13 (정자동) 208호
우드스톤 판교,13453) 경기도 성남시 수정구 금토로80번길 22 (금토동) 113호
고향김치전골_QR,13637) 경기도 성남시 분당구 구미로9번길 13-7 (구미동) 1층
솔밭삼겹살(분당점),"13558) 경기도 성남시 분당구 성남대로331번길 11-15 (정자동)  정자동, 봉우빌딩 1층(정자동) "
파쿠토리,13595) 경기도 성남시 분당구 백현로101번길 13 (수내동) 107~108호(수내동)
유강순대국_QR,13529) 경기도 성남시 분당구 판교역로 136 (백현동) 지하 1층
서프독,"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 1층"
정백선순대(판교역점),13525) 경기도 성남시 분당구 대왕판교로606번길 58 (삼평동) 1층 1-67호
판교장어사랑(판교역점),"13524) 경기도 성남시 분당구 대왕판교로606번길 39 (삼평동) 1층 103호, 104호"
